MARKET_NODE,TECHNOLOGY,MAX TURBINE CAP (MW),MAX PUMPING CAP (MW),TARGET_YEAR,Country
AL00,Reservoir,1821.744,0,2026,AL
AL00,Run of river,420.672,0,2026,AL
AT00,Open loop pumping,4190.3,3543.92,2026,AT
AT00,Pondage,1149.307,0,2026,AT
AT00,Reservoir,2531.844,0,2026,AT
AT00,Run of river,4810.48893,0,2026,AT
BA00,Open loop pumping,440,440,2026,BA
BA00,Pondage,227.8,0,2026,BA
BA00,Reservoir,1456,0,2026,BA
BA00,Run of river,40.8,0,2026,BA
BE00,Closed loop pumping,1305,1226.76,2026,BE
BE00,Run of river,137.002,0,2026,BE
BG00,Closed loop pumping,420,390,2026,BG
BG00,Open loop pumping,535,148,2026,BG
BG00,Reservoir,1281.3,0,2026,BG
BG00,Run of river,535.51,0,2026,BG
CH00,Closed loop pumping,1900,1900,2026,CH
CH00,Open loop pumping,2258.2,1717.817143,2026,CH
CH00,Reservoir,7924.634286,0,2026,CH
CH00,Run of river,4189.885714,0,2026,CH
CZ00,Closed loop pumping,678.15,664,2026,CZ
CZ00,Open loop pumping,475.2,438,2026,CZ
CZ00,Reservoir,535.34,0,2026,CZ
CZ00,Run of river,431.63,0,2026,CZ
DE00,Closed loop pumping,6322.84,6428.6,2026,DE
DE00,Open loop pumping,2225.8,1881,2026,DE
DE00,Reservoir,1001.9,8,2026,DE
DE00,Run of river,3933.9,0,2026,DE
ES00,Closed loop pumping,3331.4,3141.03,2026,ES
ES00,Open loop pumping,2683.32,2424.005633,2026,ES
ES00,Reservoir,11176.984,0,2026,ES
ES00,Run of river,3411.643047,0,2026,ES
FI00,Reservoir,3236.608,0,2026,FI
FR00,Closed loop pumping,1950,1950.003833,2026,FR
FR00,Open loop pumping,1850,1850.004662,2026,FR
FR00,Reservoir,9600,0,2026,FR
FR00,Run of river,13600,0,2026,FR
GR00,Closed loop pumping,680,710,2026,GR
GR00,Open loop pumping,699,735,2026,GR
GR00,Pondage,22.02,0,2026,GR
GR00,Reservoir,2660.7,0,2026,GR
GR00,Run of river,292.9866667,0,2026,GR
HR00,Open loop pumping,281.4,246.9,2026,HR
HR00,Pondage,320.94,0,2026,HR
HR00,Reservoir,1412.09,0,2026,HR
HR00,Run of river,63.14,0,2026,HR
HU00,Run of river,62.9,0,2026,HU
IE00,Closed loop pumping,292,292,2026,IE
IE00,Run of river,215,0,2026,IE
ITCA,Reservoir,698.89,0,2026,IT
ITCA,Run of river,118.174,0,2026,IT
ITCN,Reservoir,373.56,0,2026,IT
ITCN,Run of river,307.52,0,2026,IT
ITCS,Closed loop pumping,985,985,2026,IT
ITCS,Open loop pumping,742,333,2026,IT
ITCS,Reservoir,961.21,0,2026,IT
ITCS,Run of river,680.05,0,2026,IT
ITN1,Closed loop pumping,2380,2377,2026,IT
ITN1,Open loop pumping,2755.2,1751,2026,IT
ITN1,Reservoir,6075.303,0,2026,IT
ITN1,Run of river,5663.423028,0,2026,IT
ITS1,Reservoir,177.08,0,2026,IT
