YEAR,Capacity (MW),Storage Capacity (MWh),MARKET_NODE
2026,0,0,AL00
2028,0,0,AL00
2030,0,0,AL00
2035,0,0,AL00
2026,1179.757154,1474.696442,AT00
2028,1526.045698,1907.557123,AT00
2030,1824.98714,2281.233925,AT00
2035,3022.01068,3777.513351,AT00
2026,0,0,BA00
2028,0,0,BA00
2030,0,0,BA00
2035,0,0,BA00
2026,192,384,BE00
2028,129,258,BE00
2030,48,96,BE00
2035,0,0,BE00
2026,0,0,BG00
2028,0,0,BG00
2030,0,0,BG00
2035,0,0,BG00
2026,0,0,CH00
2028,0,0,CH00
2030,0,0,CH00
2035,0,0,CH00
2026,0,0,CZ00
2028,0,0,CZ00
2030,0,0,CZ00
2035,0,0,CZ00
2026,11097.54,22195.08,DE00
2028,22223.19,44446.38,DE00
2030,38875.33,77750.66,DE00
2035,59250.30857,118500.6171,DE00
2026,0,0,DKE1
2028,0,0,DKE1
2030,0,0,DKE1
2035,0,0,DKE1
2026,0,0,DKW1
2028,0,0,DKW1
2030,0,0,DKW1
2035,0,0,DKW1
2026,0,0,EE00
2028,0,0,EE00
2030,0,0,EE00
2035,0,0,EE00
2026,157,392.5,ES00
2028,254,635,ES00
2030,700,1750,ES00
2035,928,2320,ES00
2026,0,0,FI00
2028,0,0,FI00
2030,0,0,FI00
2035,0,0,FI00
2026,0,0,FR00
2028,0,0,FR00
2030,0,0,FR00
2035,0,0,FR00
2026,0,0,GR00
2028,0,0,GR00
2030,0,0,GR00
2035,0,0,GR00
2026,0,0,GR03
2028,0,0,GR03
2030,0,0,GR03
2035,0,0,GR03
2026,0,0,HR00
2028,0,0,HR00
2030,0,0,HR00
2035,0,0,HR00
2026,0,0,HU00
2028,0,0,HU00
2030,0,0,HU00
2035,0,0,HU00
2026,0,0,IE00
2028,0,0,IE00
2030,0,0,IE00
2035,0,0,IE00
2026,0,0,ITCA
2028,0,0,ITCA
2030,0,0,ITCA
2035,0,0,ITCA
2026,0,0,ITCN
2028,0,0,ITCN
2030,0,0,ITCN
2035,0,0,ITCN
2026,0,0,ITCS
2028,0,0,ITCS
2030,0,0,ITCS
2035,0,0,ITCS
2026,0,0,ITN1
2028,0,0,ITN1
2030,0,0,ITN1
2035,0,0,ITN1
2026,0,0,ITS1
2028,0,0,ITS1
2030,0,0,ITS1
2035,0,0,ITS1
2026,0,0,ITSA
2028,0,0,ITSA
2030,0,0,ITSA
2035,0,0,ITSA
2026,0,0,ITSI
2028,0,0,ITSI
2030,0,0,ITSI
2035,0,0,ITSI
2026,0,0,LT00
2028,0,0,LT00
2030,0,0,LT00
2035,0,0,LT00
2026,1,1,LUG1
2028,2.5,2.5,LUG1
2030,20,20,LUG1
2035,60,60,LUG1
2026,80,160,LV00
2028,80,160,LV00
2030,80,160,LV00
2035,80,160,LV00
2026,0,0,ME00
2028,0,0,ME00
2030,0,0,ME00
2035,0,0,ME00
2026,0,0,MK00
2028,0,0,MK00
2030,0,0,MK00
2035,0,0,MK00
2026,0,0,MT00
2028,0,0,MT00
2030,0,0,MT00
2035,0,0,MT00
2026,434,521,NL00
2028,1302,1564,NL00
2030,2171.2925,2605,NL00
2035,5366,6439.2,NL00
2026,0,0,NOM1
2028,0,0,NOM1
2030,0,0,NOM1
2035,0,0,NOM1
2026,0,0,NON1
2028,0,0,NON1
2030,0,0,NON1
2035,0,0,NON1
2026,0,0,NOS0
2028,0,0,NOS0
2030,0,0,NOS0
2035,0,0,NOS0
2026,0,0,PL00
2028,0,0,PL00
2030,0,0,PL00
2035,0,0,PL00
2026,0,0,PT00
2028,0,0,PT00
2030,0,0,PT00
2035,0,0,PT00
2026,0,0,RO00
2028,0,0,RO00
2030,0,0,RO00
2035,0,0,RO00
2026,0,0,RS00
2028,0,0,RS00
2030,0,0,RS00
2035,0,0,RS00
2026,0,0,SE01
2028,0,0,SE01
2030,0,0,SE01
2035,0,0,SE01
2026,0,0,SE02
2028,0,0,SE02
2030,0,0,SE02
2035,0,0,SE02
2026,0,0,SE03
2028,0,0,SE03
2030,0,0,SE03
2035,0,0,SE03
2026,0,0,SE04
2028,0,0,SE04
2030,0,0,SE04
2035,0,0,SE04
2026,0,0,SI00
2028,0,0,SI00
2030,0,0,SI00
2035,0,0,SI00
2026,27,81,SK00
2028,34,106,SK00
2030,41,131,SK00
2035,59,194,SK00
2026,0,0,UK00
2028,0,0,UK00
2030,0,0,UK00
2035,0,0,UK00
2026,0,0,UKNI
2028,0,0,UKNI
2030,0,0,UKNI
2035,0,0,UKNI
